"","PC1","PC2","PC3","IC1","IC2","IC3","AIC1","AIC2","AIC3","BIC1","BIC2","BIC3"
"1",3,3,3,2,1,3,14,7,128,6,3,1
"2",0.941196923117923,0.943679059576297,0.933478680949348,-0.0464102799963771,-0.0426501469324118,-0.0581024726136844,0.912660458747341,0.918770241409872,0.901262100769395,0.920542773159493,0.933478680949348,0.979670684430404
"3",0.928937434925222,0.93390170784197,0.913500950588073,-0.0476157409537283,-0.0400954748257976,-0.0710001261883429,0.871864506184059,0.884084071509119,0.849067790228166,0.887629135008361,0.913500950588073,1.00588495755018
"4",0.923752326491063,0.931198735866185,0.90059759998534,-0.0429346204804675,-0.0316542212885715,-0.0780111983323895,0.838142933379318,0.856472281366909,0.803947859445479,0.861789876615772,0.90059759998534,1.03917361042851
"5",0.934806214731381,0.944734760564876,0.903933246057083,-0.0199577920201684,-0.0049172597643071,-0.0667265624893978,0.820660357249054,0.845099487899175,0.775066925337269,0.85218961489766,0.903933246057083,1.0887012599813
"6",0.949867219051933,0.962277901343803,0.911276008209061,0.00740098050267304,0.0262016458224997,-0.0510599825838636,0.807184897199025,0.837733810511676,0.750193107309293,0.846596469259782,0.911276008209061,1.14223602561434
"7",0.969274267105217,0.98416708585546,0.922964814093771,0.0398932980542152,0.0624540964380072,-0.0302598576496288,0.798055480881727,0.834714176856909,0.729665333014049,0.845349367354635,0.922964814093771,1.2001168349801
"8",0.991305803904692,1.00868075911331,0.937278108724671,0.0755375061726418,0.101858437620399,-0.00630784214850955,0.79155055331062,0.834319031948332,0.711762047464996,0.84672675419568,0.937278108724671,1.26062213309206
"9",1.0162945640484,1.03615165571539,0.954548626699802,0.11491207484022,0.144993139351943,0.0213745339017615,0.788002849083744,0.836881110383986,0.696815985260173,0.851061364380955,0.954548626699802,1.32408465454824
"10",1.04212753465732,1.06446676278268,0.972663355140148,0.155311110471128,0.189152308046816,0.0500813769153617,0.785299355322082,0.840287399284855,0.682714133520566,0.856240185031445,0.972663355140148,1.38839138646965
"11",1.06901447785263,1.09383584243637,0.991832056166883,0.197046943777422,0.234648274417075,0.0801250176043484,0.783649834146811,0.844747660772114,0.669666254367348,0.862472978268324,0.991832056166883,1.45375209097744
"12",1.09612010485207,1.12342360589418,1.01121944099775,0.239017644011622,0.280379107715241,0.110403525221242,0.782218996775667,0.8494266060635,0.656837059018257,0.868924455309332,1.01121944099775,1.51933147928936
"13",1.12394709508566,1.15373273258615,1.03132818906277,0.281916941178698,0.327038537946282,0.14161062977101,0.781509522638681,0.854826914589044,0.644729226903325,0.876097295584497,1.03132818906277,1.58563223083543
"14",1.15213715155208,1.18440492551094,1.05180000336061,0.325270923269901,0.37415265310145,0.173272419244905,0.781163114734517,0.860590289347411,0.632984461021215,0.883633202092485,1.05180000336061,1.65229604861433
"15",1.1805776038009,1.21532751421813,1.07252221344086,0.368932435159663,0.421574298055177,0.20524173851736,0.781067102612756,0.866604059888181,0.621490090921508,0.891419504382876,1.07252221344086,1.71921026217563
"16",1.20925437342953,1.24648642030514,1.09348074090091,0.412887609890753,0.469289605850233,0.237504720631143,0.781207407870806,0.87285414780876,0.610232038201611,0.899442124053076,1.09348074090091,1.78636079311674
"17",1.23827599408218,1.27799017741616,1.11478411938499,0.457293572358696,0.517455701382141,0.270218490481778,0.781692564152873,0.879449086753358,0.599318836505732,0.907809594747295,1.11478411938499,1.85385617508187
"18",1.26744499047377,1.30964131026613,1.13623487360801,0.501879775278797,0.565802037366208,0.303112500784573,0.782325096173884,0.886191401436899,0.588553010548797,0.916324441180458,1.13623487360801,1.92149893278595
"19",1.29693840928312,1.34161686553385,1.15801005024878,0.546899314846383,0.614581709997759,0.33643984773485,0.783282050612653,0.893258138538199,0.57811160700962,0.925163710031378,1.15801005024878,1.98946611290778
"20",1.32670390882867,1.37386450153777,1.18005730762576,0.592284000010909,0.66372652822625,0.37013234028207,0.784511085787617,0.900596956375692,0.567942284206637,0.934275059618493,1.18005730762576,2.05770537376581
"21",1.35657968203995,1.40622241120742,1.20221483866846,0.637808003597955,0.713010664877262,0.403964151251809,0.785850394628312,0.908046047878918,0.557883235069386,0.943496682871339,1.20221483866846,2.12605490828956
"22",1.38655402123367,1.43867888685953,1.22447093569361,0.683456357787986,0.762419152131258,0.437920312824532,0.78728826945146,0.915593705364596,0.547922751914587,0.952816872106638,1.22447093569361,2.19450300879577
"23",1.41666457451664,1.47127157660087,1.246863246808,0.729284672417594,0.812007599824831,0.472056434836832,0.788862358363844,0.92327757693951,0.538098482849025,0.962273275431174,1.246863246808,2.26308732339122
"24",1.4470152037455,1.5041043422881,1.26949563386829,0.775444722574978,0.86192778304618,0.506524292376909,0.790676523222121,0.931201524460317,0.528514289729356,0.971969754701602,1.26949563386829,2.33191171393256
"25",1.47766603192942,1.53723730693039,1.29242821988364,0.822026890086992,0.91227008362216,0.541414267271616,0.792790887035461,0.939425670936188,0.51923029556475,0.981966432927094,1.29242821988364,2.40103630342896
"26",1.5084230284671,1.57047643992644,1.31546697425274,0.868753832739549,0.962757159338682,0.576449017306865,0.795011419202554,0.947755985765811,0.510052469753896,0.992069279506338,1.31546697425274,2.47026706127912
"27",1.53922078087425,1.60375632879197,1.33854648449131,0.915531748699332,1.01329520836243,0.611534740649341,0.797272707239124,0.956127056464912,0.500915399812521,1.00221288195506,1.33854648449131,2.53953857499875
"28",1.57024374144858,1.63726142582468,1.36185120289707,0.962629918431372,1.06415351115844,0.646940717764074,0.799759203442877,0.964723335331195,0.492003538038327,1.01258169257096,1.36185120289707,2.60903529688557
"29",1.60133138169658,1.67083120253104,1.38522060097649,1.00981630492517,1.1151000307162,0.682434911640569,0.802310379320289,0.973384293871137,0.483156355937793,1.02301518286053,1.38522060097649,2.67859669844604
"30",1.63249340500826,1.7044753623011,1.40866438211961,1.05710577001924,1.16614962887423,0.718032184117325,0.804935938261394,0.982119635474773,0.474383556900951,1.03352305621378,1.40866438211961,2.74823248307021
"31",1.66368718952321,1.73815128327443,1.43213992446598,1.10443649925488,1.21724049117384,0.753670720735663,0.807593258405761,0.99088673828167,0.465642519067372,1.0440626907703,1.43213992446598,2.81790002889764
"32",1.69507280350226,1.77201903371185,1.45580729627646,1.1520441735034,1.26860829848633,0.789586202366876,0.810442408014231,0.99984567055267,0.457093310697896,1.05479415479092,1.45580729627646,2.88775940418917
"33",1.7264999888199,1.80592835548786,1.47951623942552,1.19970912123038,1.32003337927727,0.825558957476542,0.813333128961285,1.00884617416225,0.448585673667003,1.06556719015013,1.47951623942552,2.95766035081929
"34",1.75810873342099,1.84001923654733,1.50340674185804,1.24763828148857,1.37172267259943,0.861795925117429,0.816405409191795,1.01802823705529,0.440259595919567,1.07652178479279,1.50340674185804,3.02774285673286
"35",1.78973675478042,1.87412939436513,1.52731652104889,1.29559314330155,1.42343766747637,0.8980585943131,0.819496966180643,1.02722957670667,0.431952794930469,1.08749565619379,1.52731652104889,3.09784463940477
"36",1.82142210142266,1.90829687746574,1.55128362552255,1.3436301674367,1.47523482467548,0.934403425830939,0.822645848452298,1.03648824164086,0.423703319224178,1.0985268528776,1.55128362552255,3.16800374735949
"37",1.85315850685522,1.94251541935668,1.57530178878654,1.39174045273081,1.52710524303357,0.97082151850775,0.825845789514276,1.04579796536537,0.41550490230821,1.10960910835173,1.57530178878654,3.23821391410453
"38",1.884986047155,1.97682509611483,1.59941108691774,1.43998383034999,1.57910875371671,1.00737270350962,0.829136865443475,1.0551988239571,0.407397620259462,1.12078249869308,1.59941108691774,3.30851521571679
"39",1.91689372136424,2.01121490678245,1.62360051895842,1.48834449251601,1.6312295489467,1.04404117305833,0.832508075282139,1.06467981645829,0.39937047212018,1.13203602294389,1.62360051895842,3.37889665123852
"40",1.94881474004347,2.04561806192005,1.64780329546906,1.53672348067887,1.68336867017352,1.08072796860388,0.83589262959078,1.07417415342946,0.391356668450874,1.14330289166468,1.64780329546906,3.44929143123022
"41",1.98077293734869,2.08005839568364,1.67204325060571,1.58515637787855,1.73556170043716,1.11746867318625,0.839314362525422,1.08370566902663,0.38338004340757,1.15460693901148,1.67204325060571,3.51972338984793
"42",2.01279700138656,2.11456459617989,1.69634907247501,1.63368616710201,1.78785162272458,1.1543062697924,0.842801962192712,1.09330305135645,0.375469285096914,1.16597685309092,1.69634907247501,3.59022121519828
"43",2.04487167908871,2.14912141034042,1.72070550800859,1.68229038666778,1.84021597535433,1.19121829674087,0.846340175524284,1.10295104735056,0.367609140450539,1.17739738083464,1.72070550800859,3.66076965421291
"44",2.07698115467487,2.18371302238494,1.74509674142617,1.73094562339478,1.89263134514529,1.22818134085056,0.849913186739857,1.11263384122866,0.359783793688166,1.18885270646237,1.74509674142617,3.73135289111155
"45",2.1091118537375,2.21832585790595,1.76950919832023,1.7796317173328,1.94507757214727,1.26517524217127,0.853507421431906,1.12233785858324,0.351979670402269,1.20032925556657,1.76950919832023,3.80195735148666
"46",2.14132028673844,2.25301642736527,1.7939993891526,1.82843335730727,1.99763934518571,1.30228468952844,0.857179390062268,1.13211960987613,0.344253281054685,1.21188353860908,1.7939993891526,3.87263954580009
"47",2.17354174556011,2.28772002264531,1.81850260580569,1.87725387738798,2.05021999833038,1.33941301699184,0.860864384513351,1.14191438698974,0.336539917527821,1.22345084747231,1.81850260580569,3.94333476593423
"48",2.2057871322192,2.32244754576277,1.8430297502962,1.92610966818913,2.1028359221955,1.37657661517568,0.86457330680186,1.15173309194078,0.328850481838384,1.23504208417297,1.8430297502962,4.0140539139058
"49",2.23805829230278,2.35720084230473,1.86758266821121,1.97500357794023,2.15548996501057,1.41377833230948,0.868308002514862,1.16157757031632,0.32118681957344,1.24665909429813,1.86758266821121,4.08479883530187
"50",2.27035996032478,2.3919846467851,1.89216609406463,2.0239427960558,2.2081893161901,1.45102535780774,0.872073206166278,1.17145255663026,0.31355366524691,1.2583066123617,1.89216609406463,4.15557426463635
"51",2.30267654913312,2.42678337205181,1.9167644407044,2.07290399547699,2.26091064867525,1.48829436461162,0.875853330604038,1.18134246373055,0.305935431706723,1.26996905121161,1.9167644407044,4.22636461475717
"52",2.33501476530994,2.461603724687,1.94138441471264,2.12189730032066,2.31366408658289,1.52559547683799,0.879655082410273,1.19125399819932,0.298338825535012,1.28165311742999,1.94138441471264,4.29717659224647
"53",2.36737938322542,2.49645047906086,1.96603079045955,2.17092995037201,2.36645686969821,1.56293593427203,0.883483235955169,1.20119193440674,0.290768621101962,1.29336358538704,1.96603079045955,4.36801497147442
"54",2.39978959046643,2.53134282276025,1.99072275553199,2.22003088770625,2.41931794009641,1.60034467898896,0.887356978825602,1.21117545993971,0.283244005994449,1.30511964266962,1.99072275553199,4.43889894002792
"55",2.43220967580561,2.5662450445578,2.01542459870259,2.2691464496076,2.47219363506173,1.637768048273,0.891240599794201,1.22116886357084,0.275729268985101,1.31688557805038,2.01542459870259,4.50979278667958
"56",2.46465788334597,2.60117538855653,2.04015456407438,2.31830413796053,2.52511145647862,1.67523354400862,0.895152342963976,1.23119038940314,0.26824265417693,1.3286796356323,2.04015456407438,4.58071475553242
"57",2.49710909270669,2.63610873437563,2.06488753126653,2.36746615523222,2.57803360681428,1.71270336866301,0.89906708795412,1.24121491705582,0.260759041189127,1.3404766950346,2.06488753126653,4.65163972620563
"58",2.52960187579752,2.67108365392482,2.08966207218877,2.41669065494355,2.63101823958957,1.75023567575703,0.90302340667436,1.25128101843859,0.253317001931421,1.35231532816699,2.08966207218877,4.72260627060893
"59",2.56210452165303,2.70606843623872,2.11444647587572,2.4659298878893,2.68401760559929,1.78778271608548,0.906989588159296,1.26135698258605,0.245884825438411,1.36416382406408,2.11444647587572,4.79358267777693
"60",2.59461758294529,2.74106363398935,2.1392412949994,2.51518470373592,2.73703255450987,1.82534533931478,0.91096618508097,1.27144336217026,0.238463064382139,1.3760227353979,2.1392412949994,4.86456950038166
"61",2.62713941679389,2.77606760429632,2.16404488667943,2.56445263945209,2.79006062329001,1.86292108241365,0.91495155455899,1.28153851431081,0.231050075882212,1.38789041928807,2.16404488667943,4.93556509554275
"62",2.6596829373786,2.81109326133941,2.18887016509557,2.6137532020039,2.84312131890578,1.90052945234815,0.918958610773121,1.29165535318747,0.223658774118397,1.39977978991436,2.18887016509557,5.00658237743994
"63",2.69223452822178,2.84612698864095,2.21370351377016,2.66306586112067,2.89619411108652,1.93814991884762,0.922973737245712,1.30178026232259,0.216275542613042,1.4116772307991,2.21370351377016,5.07760772959559
"64",2.72479789244523,2.88117248932279,2.23854863582505,2.71239622011887,2.94928460314868,1.9757880852285,0.927000637098587,1.311916944838,0.20890408448797,1.42358644506412,2.23854863582505,5.14864485513153
"65",2.75736976258897,2.91622649592489,2.26340226380021,2.76173935711673,3.00238787321052,2.01343902960906,0.931036042871739,1.32206213327368,0.201541132283176,1.43550416524943,2.26340226380021,5.21969048658775
"66",2.78995758894043,2.95129645873473,2.28827184798309,2.81110653978264,3.05551518894039,2.05111401965766,0.935087404852618,1.33222327791709,0.194194136286109,1.44743784164246,2.28827184798309,5.29075207425169
"67",2.82255378456825,2.98637479082092,2.31314980144234,2.86048631812495,3.10865510034666,2.08880160538267,0.939147136109856,1.34239279183686,0.186855509565401,1.45937988731185,2.31314980144234,5.36182203119199
"68",2.85516043016837,3.02146357287942,2.33803820487389,2.9098818458051,3.16181076109078,2.12650494044551,0.9432173173394,1.35257275572893,0.179527332816998,1.47133238295354,2.33803820487389,5.43290243810459
"69",2.887778611487,3.05656389065642,2.36293814402394,2.95929477405307,3.21498382240271,2.16422567607617,0.947299034287441,1.3627642553395,0.172210691787093,1.48329641431373,2.36293814402394,5.5039943807357
"70",2.92040551877238,3.09167293440018,2.38784680914075,3.00872086358146,3.26817004499507,2.20195957298725,0.951389477202244,1.37296448091683,0.16490277672395,1.49526917164069,2.38784680914075,5.57509504933356
"71",2.95303918708766,3.12678873917383,2.41276223528745,3.05815714928925,3.32136646376682,2.23970366607774,0.955486681146942,1.38317146752406,0.157601622690702,1.50724868999754,2.41276223528745,5.64620247896132
"72",2.98567980170947,3.16191149025401,2.43768460774069,3.10760391641901,3.37457336396055,2.27745824059019,0.95959083139817,1.39338540043782,0.150307414963983,1.51923515466092,2.43768460774069,5.71731685489561
"73",3.01832933120862,3.19704315621153,2.46261589507126,3.15706414804422,3.42779372864972,2.31522627959809,0.963703896526735,1.40360824822892,0.143022122114601,1.53123053420163,2.46261589507126,5.78844014570724
"74",3.05098628852815,3.23218224998945,2.48755461022222,3.20653559968095,3.48102531335042,2.35300553861752,0.967824389475692,1.4138385238404,0.135744257085612,1.54323334156274,2.48755461022222,5.85957086433926
"75",3.08365023717325,3.26732833509292,2.51250031669875,3.25601761507246,3.53426746180589,2.39079536139172,0.971951873750209,1.42407579077745,0.128473383382183,1.55524314024941,2.51250031669875,5.93070857429684
"76",3.11632390986212,3.30248414424016,2.53745574721904,3.30551433373752,3.58752431353492,2.42859988743947,0.976089082068498,1.43432278175827,0.121212233722525,1.56726266297985,2.53745574721904,6.00185600829819
"77",3.14900035109688,3.33764272193329,2.56241394628523,3.35501523245801,3.64078534531937,2.46640859354265,0.980229058932674,1.44457254128498,0.113953852608755,1.57928495425618,2.56241394628523,6.07300621084543
"78",3.18168317816902,3.37280768546381,2.58737853118879,3.4045257880553,3.69405603398063,2.50422695652264,0.984375421634233,1.45482868664907,0.106701857332368,1.59131363136989,2.58737853118879,6.14416279923005
"79",3.214371948407,3.40797859216016,2.6123490592582,3.45404533294829,3.74733571193759,2.54205430879832,0.988527727501632,1.46509077517899,0.0994558052218206,1.60334825164944,2.6123490592582,6.21532533078051
"80",3.24706333570001,3.44315211591155,2.63732220438264,3.50356883369543,3.80061934574869,2.57988561692815,0.992682650424062,1.47535548076396,0.0922123701663047,1.61538548898402,2.63732220438264,6.28649047938601
"81",3.27976040760477,3.47833132427468,2.66230103411882,3.55310093565866,3.85391158077588,2.61772552627407,0.996843257958238,1.48562587096066,0.0849746197225347,1.62742841093035,2.66230103411882,6.35766131260325
"82",3.31246041039878,3.51351346352706,2.68728279474425,3.60263747101068,3.90720824919187,2.65556986900878,1.00100679638166,1.49589919204661,0.0777398001680113,1.63947426376592,2.68728279474425,6.42883507670973
"83",3.34516461037242,3.54869979995908,2.71226875254932,3.65218035804325,3.96051126928841,2.69342056342405,1.00517453198473,1.50617671031221,0.0705091777931296,1.65152431378114,2.71226875254932,6.50001303799586
"84",3.37787603205443,3.58389335809946,2.73726193206275,3.70173417788736,4.01382522219648,2.73128219065085,1.00934948929615,1.51646145028616,0.0632857771266074,1.66358158550471,2.73726193206275,6.57119822099035
"85",3.41058952222781,3.61908898473121,2.76225718006756,3.75129112818021,4.0671423055533,2.76914694832639,1.01352651509895,1.5267482587515,0.0560644449514617,1.67564092571967,2.76225718006756,6.64238547247621
"86",3.44330432185871,3.65428592082048,2.78725373752988,3.80085005981249,4.12046137024954,2.80701368734137,1.01770485035926,1.53703637667434,0.0488444222338283,1.68770157539213,2.78725373752988,6.71357403341958
"87",3.47602082805582,3.68948456347597,2.81225200155842,3.85041157443552,4.17378301793654,2.84488300934709,1.02188489218579,1.5473262011634,0.0416261060824126,1.69976393163081,2.81225200155842,6.78476430092918
"88",3.50873835275644,3.72468422463497,2.83725128409047,3.89997463024077,4.22710620680575,2.88275387253503,1.02606595251584,1.55761704415597,0.03440880843451,1.71182730637301,2.83725128409047,6.85595558694228
"89",3.54146120416574,3.75988921250264,2.8622558933312,3.94954575253457,4.28043746216352,2.92063280221153,1.03025233955456,1.56791321385722,0.0271968374952832,1.72389600782388,2.8622558933312,6.92715219966407
"90",3.57418586280847,3.79509600760375,2.88726230980535,3.99911961133981,4.33377145403272,2.95851446839946,1.0344405338267,1.5782111907919,0.0199866737894836,1.73596651650818,2.88726230980535,6.99835061961928
"91",3.60691273940161,3.83030502065525,2.91227094422991,4.04869682895286,4.38710880470974,2.9963994933952,1.03863094604926,1.58851138567698,0.0127787280340894,1.74803924314288,2.91227094422991,7.06955125752489
"92",3.63964116878015,3.86551558649217,2.93728113143988,4.0982763980792,4.44044850690005,3.03428686990423,1.04282291105722,1.59881313334748,0.00557233506410737,1.760113522563,2.93728113143988,7.14075344821592
"93",3.67237093834037,3.90072749251076,2.96229265883152,4.14785799682183,4.49379023870664,3.07217627602955,1.04701621624685,1.60911622119964,-0.0016327177242067,1.77218914216478,2.96229265883152,7.21195697908861
"94",3.70510247413316,3.93594116476193,2.98730595245574,4.19744227063555,4.54713464558433,3.11006835722597,1.05121128766907,1.61942107528438,-0.00883600427993814,1.78426652799915,2.98730595245574,7.28316227619389
"95",3.73783438955604,3.97115521664319,3.01231962571005,4.24702711928562,4.60047962729836,3.14796101325873,1.05540673872137,1.62972630899921,-0.0160389112055856,1.7963442934636,3.01231962571005,7.35436795292925
"96",3.77056685563846,4.00636981918397,3.03733384962389,4.2966128018657,4.65382544294241,3.18585450322151,1.0596027404332,1.64003209337358,-0.0232412674716999,1.80842260958758,3.03733384962389,7.42557418032415
"97",3.80330104362347,4.04158614362736,3.06234979544033,4.34620109258881,4.70717386672948,3.22375060132731,1.06380046404763,1.65033959965054,-0.0304419018352171,1.82050264761416,3.06234979544033,7.49678212962164
"98",3.83603629100876,4.07680352747103,3.08736680065705,4.39579098798076,4.7605238951854,3.26164830410195,1.06799924706234,1.66064816532778,-0.0376414767984511,1.83258374504102,3.08736680065705,7.56799113831941
"99",3.86877261041406,4.1120219833347,3.11238487789377,4.44538250720029,4.81387554746889,3.29954763070417,1.07219910209706,1.67095780302503,-0.0448399797416781,1.84466591448789,3.11238487789377,7.63920121903719
"100",3.90150922456238,4.1472407339414,3.13740324987352,4.49497447285045,4.86722764618301,3.33744740373702,1.0763992518748,1.6812677354653,-0.0520381879418853,1.85674837867778,3.13740324987352,7.710411594498
