,RGDP,PGDP,Cons,GPDInv,Emp. Hours,Real Comp/Hour,FedFunds
1973Q2,0.04597699,0.06610664,-0.00209474,0.1819186,0.04162782,-0.02083557,0.078166667
1973Q3,-0.02133579,0.07599657,0.01426061,-0.15961316,0.02691029,-0.0014054,0.1056
1973Q4,0.03798168,0.06859074,-0.01188031,0.15206254,0.01984604,-0.01361104,0.099966667
1974Q1,-0.03481028,0.08088177,-0.03460576,-0.26791473,-0.01710813,-0.02286731,0.093233333
1974Q2,0.01157691,0.08761335,0.01600175,-0.01594947,0.01046938,-0.00156068,0.1125
1974Q3,-0.0389335,0.12172894,0.01784247,-0.23063001,-0.01393082,0.00198622,0.1209
1974Q4,-0.01571675,0.12056259,-0.0581124,0.03617001,-0.06665822,-0.01962159,0.093466667
1975Q1,-0.04817283,0.09133341,0.03404931,-0.76933896,-0.1275102,0.02609358,0.063033333
1975Q2,0.02917565,0.05836861,0.06469758,-0.14753943,-0.03706556,0.0317824,0.0542
1975Q3,0.06713954,0.07394939,0.05642661,0.32484996,0.03641443,-0.00796888,0.0616
1975Q4,0.0521262,0.07045404,0.04141283,0.11345244,0.06806317,-0.0003754,0.054133333
1976Q1,0.08900637,0.044667,0.07885707,0.39247822,0.06566502,0.04159483,0.048266667
1976Q2,0.02975414,0.04266895,0.03545844,0.16987581,0.00136428,0.04713786,0.051966667
1976Q3,0.01911004,0.05371884,0.0416087,0.00555696,0.01591708,0.02361319,0.052833333
1976Q4,0.02853778,0.06782901,0.05228258,0.02227647,0.02136729,0.0263313,0.048733333
1977Q1,0.04801795,0.06612359,0.0471242,0.19629005,0.04234376,-0.00349177,0.0466
1977Q2,0.07777487,0.06372934,0.02159679,0.29544166,0.07560179,0.00938005,0.051566667
1977Q3,0.07099488,0.0546518,0.03791983,0.21382641,0.04256801,0.02310684,0.0582
1977Q4,-0.00040772,0.06691554,0.05964908,-0.10997,0.0389069,0.01392587,0.065133333
1978Q1,0.01286384,0.06626405,0.02263031,0.07488669,0.01840195,0.05230347,0.067566667
1978Q2,0.15458743,0.07631322,0.08445477,0.2674502,0.11532147,-0.01849976,0.072833333
1978Q3,0.03922211,0.06847341,0.01740972,0.12037526,0.0335264,0.00457745,0.081
1978Q4,0.05231648,0.08076921,0.03233974,0.08746746,0.0482226,0.01591358,0.095833333
1979Q1,0.00778879,0.07199967,0.02088149,0.00301475,0.02829408,0.01849352,0.100733333
1979Q2,0.0038125,0.09590135,-0.00152227,-0.01112815,0.01620441,-0.0208389,0.1018
1979Q3,0.02870554,0.08145936,0.0393919,-0.07964306,0.03336217,-0.01774547,0.109466667
1979Q4,0.01171149,0.07795483,0.01148914,-0.07477762,0.00780425,0.00022231,0.135766667
1980Q1,0.01273035,0.08682104,-0.00633475,-0.03173134,-0.00950484,-0.00916922,0.150466667
1980Q2,-0.08152307,0.08737595,-0.09024265,-0.37629695,-0.070401,0.00654523,0.126866667
1980Q3,-0.00668338,0.08968819,0.0432916,-0.31525537,-0.01838308,0.00893229,0.098366667
1980Q4,0.07351398,0.11081602,0.05289017,0.38924081,0.04905171,0.01112633,0.158533333
1981Q1,0.08025976,0.10282872,0.01705558,0.38350026,0.02199398,-0.00518252,0.1657
1981Q2,-0.03134417,0.06998147,0.0009454,-0.19335782,0.0014312,-0.00230551,0.1778
1981Q3,0.04810361,0.07300423,0.01580237,0.24154073,-0.00138502,0.00855028,0.175766667
1981Q4,-0.05019203,0.06932422,-0.03032316,-0.15916325,-0.01545243,-0.01192225,0.135866667
1982Q1,-0.06612218,0.05620578,0.02624097,-0.44153843,-0.06490987,0.05107241,0.142266667
1982Q2,0.02140802,0.04952724,0.01411296,-0.00456627,0.01547009,-0.0089061,0.145133333
