,IND_PROD,EXPORT_D11,IMPORT_D11,EMPLOYED_D11,CONSTRUCTION_D11,CARGO_D11,RETAIL_D11,BUSINESS_CONF,REAL_DISPOSABLE_INCOME_SA,RETAIL_FOOD_D11,RETAIL_NONFOOD_D11,TOTAL_REVENUE_SE_D11,unemp_rate,EXPORT_SNG_D11,agriculture,HOUSING_D11,real_investment,IMPORT_SNG_D11,inflation,d_reer,d_poil,d_pgas,firms_exp,infl_exp
2003M07,4.394770893,4.505614173,4.567420901,4.005997774,4.609998811,4.114533501,4.180046916,4.0205607,4.3634952,4.15721132,4.200621477,4.130989886,8.417370315,4.556327293,5.16538962,4.706005285,4.952805243,4.569331195,1.022632166,1.487624131,2.53164557,-13.57388316,26.96,
2003M08,4.381886587,4.519028918,4.552103398,4.010729265,4.619746304,4.118566357,4.185044627,4.024444221,4.3760195,4.167198236,4.195540868,4.110886281,8.266808561,4.550853113,5.187886128,4.567235312,4.957221156,4.520042488,1.025968353,1.690987199,5.432098765,-0.795228628,26.62,
2003M09,4.40808071,4.529071444,4.593711079,4.013509192,4.63457601,4.115817449,4.195910337,4.025170475,4.3964794,4.167245738,4.221489723,4.142821629,7.99239395,4.56725597,5.337515339,4.679810447,4.978757831,4.544683595,1.048836146,-1.859238631,-9.300769488,-7.414829659,26.81,
2003M10,4.418159087,4.594476874,4.63762457,4.017207767,4.649748705,4.13243465,4.204119062,4.026757241,4.3975663,4.175148443,4.230354776,4.154140556,7.81638012,4.636567464,5.320309996,4.696308431,4.995192397,4.591881653,1.007562331,-1.037354785,9.221689414,0.216450216,26.51,
2003M11,4.404151869,4.549894782,4.576740928,4.021702872,4.624906672,4.13603602,4.211676219,4.026727644,4.4005869,4.181284685,4.239075444,4.155474351,7.946482187,4.65478154,5.269966296,4.54661206,4.993926408,4.564886005,1.051940565,1.074815312,-2.904424181,-3.455723542,25.49,
2003M12,4.438370094,4.599569093,4.685960123,4.020472626,4.562432393,4.14832768,4.217972277,4.025012347,4.4216658,4.184385911,4.250392737,4.166392734,8.112985516,4.723466622,5.28943105,4.707104325,5.014550752,4.669153879,0.875506208,-0.635714343,3.686956522,37.13646532,25.59,
2004M01,4.436905617,4.618349346,4.688690324,4.020122721,4.693149555,4.149780121,4.259269497,4.02155619,4.5577879,4.22968454,4.281491209,4.18275025,8.229824899,4.740821629,5.293231053,4.698727292,5.051043763,4.621617662,0.987541588,0.483308648,4.93123113,0.163132137,25.58,
2004M02,4.449670061,4.673357697,4.732629218,4.020815163,4.707310649,4.168569467,4.270341056,4.018227311,4.4327286,4.232492895,4.299737221,4.199431999,7.951567307,4.772501911,5.29135136,4.762063392,5.055965193,4.69615269,0.797368166,0.104985944,-1.342710997,-12.54071661,25.53,
2004M03,4.445680476,4.693186651,4.760607339,4.022478046,4.698134986,4.160271341,4.279323746,4.015914833,4.4231385,4.239335063,4.311166531,4.206316877,7.635333782,4.797614121,5.287974766,4.718509575,5.064697,4.718557504,0.727541521,0.945682419,8.976020739,0.372439479,25.78,
2004M04,4.453884945,4.760447174,4.78042949,4.027435768,4.700934821,4.174960726,4.279815294,4.015394298,4.4359132,4.242327144,4.313190336,4.198208315,7.375772125,4.798869767,5.288832477,4.731446972,5.070186838,4.785554698,0.81063623,0.009216924,-0.118941421,5.936920223,26.37,
2004M05,4.456783118,4.714668804,4.779609,4.031630889,4.710455069,4.162182137,4.285322022,4.017411182,4.410783,4.246092045,4.31987444,4.187170786,7.466079005,4.833768496,5.287532266,4.744234816,5.089886119,4.821299921,1.132538655,0.165580259,11.84876451,10.85814361,24.77,
2004M06,4.467814553,4.802610759,4.830628707,4.030156756,4.703137717,4.167662736,4.293756933,4.019600889,4.4520576,4.252966964,4.325819014,4.199229569,7.421121679,4.93508404,5.28937243,4.714655569,5.095422728,4.813811264,1.11016064,-0.800112626,-6.361458611,-0.947867299,25.92,
2004M07,4.466276545,4.812642739,4.826053736,4.028186116,4.678298175,4.171413125,4.307035438,4.023325438,4.46607,4.263300608,4.343709585,4.212666657,7.440554956,4.92096789,5.288259,4.796995525,5.087457622,4.826947908,0.935165276,-1.267291993,8.641273451,-5.422647528,24.82,
2004M08,4.477831578,4.859687999,4.865937598,4.026604351,4.688762598,4.18342844,4.313553579,4.027152161,4.4664118,4.264617148,4.35193234,4.215966023,7.632846748,4.951983115,5.292069187,4.789163338,5.115262301,4.786143759,1.041257362,0.521598472,11.82626897,-8.768971332,24.64,
2004M09,4.473072417,4.877768977,4.875429779,4.024716616,4.690037432,4.184206792,4.322419731,4.029494122,4.4651028,4.274596261,4.363108012,4.237821997,7.78841311,4.95487299,5.293763664,4.747407154,5.11178337,4.795012187,0.978761212,-0.488219403,1.076275152,-4.805914972,24.28,
2004M10,4.468092467,4.90189738,4.847366851,4.023211744,4.676205829,4.179676755,4.335717838,4.029816696,4.4934362,4.280921858,4.381465663,4.22029599,7.921761195,4.970722186,5.302886164,4.815958424,5.119741267,4.806123535,0.844819625,-0.92231652,15.23148148,23.30097087,24.75,
2004M11,4.485405369,4.984888301,4.911380388,4.022372374,4.69143938,4.189663725,4.351431189,4.027717389,4.508221,4.291054294,4.401390449,4.220782188,7.66239813,5.106820768,5.296753645,4.804667672,5.130739781,4.866586147,1.105421276,-1.449935707,-13.3989554,-2.834645669,24.44,
2004M12,4.501428803,4.962455537,4.950185456,4.026105676,4.65361365,4.177535337,4.352965847,4.023674943,4.5025334,4.293642237,4.404930533,4.233170425,7.368090245,5.164093308,5.29190636,4.862223875,5.138582499,4.941838556,1.038519006,0.970642309,-8.141962422,6.645056726,23.91,
2005M01,4.479428104,4.875373021,4.917261602,4.031044812,4.79888183,4.188553695,4.36396032,4.021068982,4.5098554,4.302132048,4.413062603,4.184877924,7.149324909,4.765223507,5.300864819,4.84465566,5.140762156,4.770790917,1.016158967,1.269873141,12.3989899,-6.534954407,23.02,
2005M02,4.513521214,4.983038271,4.980342512,4.037724101,4.80835914,4.177066761,4.38146443,4.019671586,4.5310041,4.320407676,4.426085057,4.225843567,7.107284341,4.898039466,5.302264218,4.817720192,5.162649236,4.814565296,1.67845244,-0.354644186,2.179285554,-0.162601626,22.37,
2005M03,4.498512084,5.052842495,5.023715257,4.034903732,4.774186033,4.186076941,4.391133311,4.019412438,4.5613491,4.326622414,4.441823237,4.243215289,7.040858576,4.97132166,5.30478128,4.793630993,5.15709447,4.923691773,0.757616386,-0.441072005,16.75461741,13.35504886,22.70,
