DATE,SP500
2008-09-05,1257.9250000000000000
2008-09-12,1245.0180000000000000
2008-09-19,1204.8540000000000000
2008-09-26,1200.6740000000000000
2008-10-03,1129.4640000000000000
2008-10-10,969.4400000000000000
2008-10-17,959.2360000000000000
2008-10-24,924.4220000000000000
2008-10-31,928.4720000000000000
2008-11-07,952.1380000000000000
2008-11-14,891.0080000000000000
2008-11-21,813.7840000000000000
2008-11-28,873.2800000000000000
2008-12-05,851.4100000000000000
2008-12-12,890.1860000000000000
2008-12-19,891.8660000000000000
2008-12-26,868.9350000000000000
2009-01-02,898.7775000000000000
2009-01-09,913.7760000000000000
2009-01-16,855.7060000000000000
2009-01-23,826.2275000000000000
2009-01-30,845.4780000000000000
2009-02-06,842.1260000000000000
2009-02-13,838.5640000000000000
2009-02-20,781.6450000000000000
2009-02-27,753.8580000000000000
2009-03-06,695.1900000000000000
2009-03-13,724.9560000000000000
2009-03-20,775.7880000000000000
2009-03-27,818.3440000000000000
2009-04-03,814.6720000000000000
2009-04-10,833.1875000000000000
2009-04-17,857.4380000000000000
2009-04-24,848.8340000000000000
2009-05-01,867.3280000000000000
2009-05-08,913.4380000000000000
2009-05-15,895.4920000000000000
2009-05-22,899.3280000000000000
2009-05-29,907.3400000000000000
2009-06-05,940.3840000000000000
2009-06-12,942.3640000000000000
2009-06-19,917.2000000000000000
2009-06-26,905.6480000000000000
2009-07-03,916.5750000000000000
2009-07-10,884.2240000000000000
2009-07-17,924.1380000000000000
2009-07-24,963.0660000000000000
2009-07-31,982.2360000000000000
2009-08-07,1003.7120000000000000
2009-08-14,1004.8160000000000000
2009-08-21,999.8720000000000000
2009-08-28,1028.3200000000000000
2009-09-04,1006.6100000000000000
2009-09-11,1036.4075000000000000
2009-09-18,1060.9040000000000000
2009-09-25,1058.4700000000000000
2009-10-02,1047.1460000000000000
2009-10-09,1057.9460000000000000
2009-10-16,1085.1280000000000000
2009-10-23,1088.5760000000000000
2009-10-30,1055.0580000000000000
2009-11-06,1054.1440000000000000
2009-11-13,1093.0640000000000000
2009-11-20,1103.1400000000000000
2009-11-27,1103.5025000000000000
2009-12-04,1103.9260000000000000
2009-12-11,1099.9800000000000000
2009-12-18,1105.9540000000000000
2009-12-25,1119.7850000000000000
2010-01-01,1123.8750000000000000
2010-01-08,1138.6640000000000000
2010-01-15,1142.6740000000000000
2010-01-22,1124.1275000000000000
2010-01-29,1088.9700000000000000
2010-02-05,1083.8180000000000000
2010-02-12,1069.8740000000000000
2010-02-19,1102.5750000000000000
2010-02-26,1103.0560000000000000
2010-03-05,1122.8960000000000000
2010-03-12,1144.9580000000000000
2010-03-19,1160.3820000000000000
2010-03-26,1168.0040000000000000
2010-04-02,1173.5050000000000000
2010-04-09,1188.0280000000000000
2010-04-16,1201.6460000000000000
2010-04-23,1207.3160000000000000
2010-04-30,1196.1180000000000000
2010-05-07,1156.1580000000000000
2010-05-14,1156.0620000000000000
2010-05-21,1106.4140000000000000
2010-05-28,1081.6200000000000000
2010-06-04,1084.2000000000000000
2010-06-11,1069.3200000000000000
2010-06-18,1110.6040000000000000
2010-06-25,1090.2000000000000000
2010-07-02,1039.2940000000000000
2010-07-09,1059.1350000000000000
2010-07-16,1086.1240000000000000
2010-07-23,1084.1300000000000000
2010-07-30,1107.6220000000000000
2010-08-06,1124.2020000000000000
2010-08-13,1100.2360000000000000
2010-08-20,1082.6800000000000000
2010-08-27,1057.2740000000000000
2010-09-03,1074.6300000000000000
2010-09-10,1101.1100000000000000
2010-09-17,1123.6640000000000000
2010-09-24,1138.0540000000000000
2010-10-01,1144.4060000000000000
2010-10-08,1156.1920000000000000
2010-10-15,1172.6380000000000000
2010-10-22,1178.4240000000000000
2010-10-29,1184.1500000000000000
2010-11-05,1204.5640000000000000
2010-11-12,1213.6220000000000000
2010-11-19,1190.2200000000000000
2010-11-26,1191.5800000000000000
2010-12-03,1204.1240000000000000
2010-12-10,1229.7100000000000000
2010-12-17,1240.8120000000000000
2010-12-24,1254.3225000000000000
2010-12-31,1258.2700000000000000
2011-01-07,1272.7960000000000000
2011-01-14,1281.4380000000000000
2011-01-21,1285.1375000000000000
2011-01-28,1290.9060000000000000
2011-02-04,1303.1420000000000000
2011-02-11,1323.1040000000000000
2011-02-18,1336.0180000000000000
2011-02-25,1312.2050000000000000
2011-03-04,1318.8220000000000000
2011-03-11,1310.2720000000000000
2011-03-18,1277.6120000000000000
2011-03-25,1302.6300000000000000
2011-04-01,1323.2260000000000000
2011-04-08,1332.5440000000000000
2011-04-15,1317.4460000000000000
2011-04-22,1321.3750000000000000
2011-04-29,1352.4480000000000000
2011-05-06,1348.0920000000000000
2011-05-13,1346.3900000000000000
2011-05-20,1335.2000000000000000
2011-05-27,1322.1820000000000000
2011-06-03,1318.2125000000000000
2011-06-10,1282.1300000000000000
2011-06-17,1272.8520000000000000
2011-06-24,1282.5940000000000000
2011-07-01,1308.8980000000000000
2011-07-08,1343.5300000000000000
2011-07-15,1315.1720000000000000
2011-07-22,1329.3660000000000000
2011-07-29,1313.4420000000000000
2011-08-05,1240.1560000000000000
2011-08-12,1152.8400000000000000
2011-08-19,1171.0640000000000000
2011-08-26,1159.9680000000000000
2011-09-02,1204.0560000000000000
2011-09-09,1175.9975000000000000
2011-09-16,1189.7880000000000000
2011-09-23,1167.7860000000000000
2011-09-30,1156.2420000000000000
2011-10-07,1137.5280000000000000
2011-10-14,1205.1840000000000000
2011-10-21,1217.9520000000000000
2011-10-28,1258.9840000000000000
2011-11-04,1244.7720000000000000
