Date,NER,ND,match,match2
19.10.2002,0.0000547,0.0000676,839,164
22.10.2002,-0.00000303,0.0000408,842,165
24.10.2002,-0.000107367,0.0000618,844,165
26.10.2002,-0.000192846,-0.0000569,846,166
29.10.2002,-0.000295509,-0.0000905,849,166
31.10.2002,-0.000209556,-0.000239081,851,166
02.11.2002,-0.0000424,-0.0000222,853,167
05.11.2002,-0.00000739,-0.0000795,856,168
09.11.2002,-0.000266314,-0.000124779,860,168
12.11.2002,0.0000671,-0.000347121,863,169
14.11.2002,-0.0001071,0.0000121,865,169
16.11.2002,0.000181658,0.00028883,867,170
19.11.2002,-0.000167922,0.00000107,870,170
21.11.2002,-0.00000518,0.000209839,872,171
23.11.2002,-0.0000699,0.0000518,874,171
26.11.2002,0.00015063,0.0000332,877,172
28.11.2002,-0.0000537,0.0000913,879,172
30.11.2002,-0.000107743,-0.0000996,881,172
03.12.2002,-0.0000411,0.000134948,884,173
05.12.2002,-0.0000959,0.00000111,886,174
09.12.2002,-0.0000681,-0.000133423,890,174
10.12.2002,-0.000172495,-0.000012,891,175
14.12.2002,-0.0000264,0.0000188,895,175
17.12.2002,-0.00018859,-0.000151351,898,176
19.12.2002,-0.00000772,0.0000587,900,176
21.12.2002,0.0000661,-0.0000736,902,177
24.12.2002,-0.000246438,-0.000119302,905,177
26.12.2002,-0.0000651,0.0000621,907,178
28.12.2002,0.000437724,0.00014869,909,178
11.01.2003,-0.000304479,-0.000114574,923,181
14.01.2003,-0.0000656,0.000180054,926,181
16.01.2003,-0.00010012,0.000133457,928,182
20.01.2003,-0.000264192,-0.000171405,932,183
21.01.2003,-0.000223363,-0.0000533,933,183
23.01.2003,-0.000433851,-0.000212525,935,183
24.01.2003,-0.000418307,-0.00000187,936,183
25.01.2003,-0.000515578,-0.000207178,937,184
28.01.2003,-0.000267552,-0.0000384,940,184
30.01.2003,0.000130364,0.000196568,942,184
01.02.2003,0.000122654,-0.000238646,944,185
04.02.2003,-0.0000399,0.0000407,947,185
06.02.2003,-0.000129918,-0.0000633,949,186
08.02.2003,0.000145937,0.00015942,951,186
11.02.2003,0.000111408,0.0000261,954,187
13.02.2003,0.0000772,-0.0000346,956,187
15.02.2003,0.0000251,-0.000280106,958,188
18.02.2003,-0.0000396,0.00000611,961,188
20.02.2003,0.0000277,0.0000713,963,189
21.02.2003,0.000100108,0.000250717,964,189
25.02.2003,-0.0000187,0.0000615,968,190
01.03.2003,0.0000359,-0.000158879,972,191
07.03.2003,-0.000167069,0.0000928,978,192
13.03.2003,-0.000203348,-0.0000769,984,193
15.03.2003,-0.000136141,-0.00000116,986,194
21.03.2003,-0.000346029,-0.0000209,992,195
23.03.2003,-0.000398175,-0.0000814,994,195
25.03.2003,-0.000263611,0.0000815,996,196
27.03.2003,-0.000100644,0.000110227,998,196
29.03.2003,0.0000103,0.000229542,1000,196
31.03.2003,-0.000392937,-0.000151969,1002,196
02.04.2003,-0.0000143,0.0000547,1004,197
04.04.2003,0.000283124,0.00037568,1006,197
06.04.2003,-0.000147904,0.0000856,1008,198
08.04.2003,-0.0000813,0.000103814,1010,198
09.04.2003,-0.00023767,-0.000032,1011,198
10.04.2003,0.0000751,0.000101157,1012,199
11.04.2003,0.000140837,0.000137611,1013,199
14.04.2003,0.0000652,0.000152833,1016,199
15.04.2003,0.000210816,0.000184775,1017,200
16.04.2003,0.0000938,-0.000173134,1018,200
17.04.2003,0.000141099,0.00015729,1019,200
18.04.2003,0.000111585,-0.0000922,1020,200
21.04.2003,-0.0000734,0.0000216,1023,201
22.04.2003,-0.000181551,-0.000123276,1024,201
23.04.2003,0.000148099,0.000072,1025,201
24.04.2003,0.00004,-0.000217012,1026,201
25.04.2003,0.0000907,0.000291012,1027,202
28.04.2003,-0.00000813,0.0000896,1030,202
29.04.2003,0.00018327,0.000033,1031,202
20.05.2003,0.000000379,0.0000597,1052,207
22.05.2003,0.0000681,0.00000674,1054,207
23.05.2003,-0.0000678,-0.000041,1055,207
26.05.2003,-0.0000925,0.000314051,1058,208
27.05.2003,0.0000616,0.0000982,1059,208
28.05.2003,0.000182885,0.0000965,1060,208
29.05.2003,-0.0000601,-0.0000422,1061,208
30.05.2003,-0.000239342,0.0000553,1062,208
02.06.2003,0.0000937,0.00016886,1065,209
06.06.2003,0.000000392,0.000177802,1069,210
09.06.2003,-0.0000249,0.0000547,1072,210
10.06.2003,0.000079,0.00013271,1073,211
11.06.2003,0.000074,-0.0000172,1074,211
16.06.2003,-0.00027319,-0.000368739,1079,212
17.06.2003,-0.000137715,-0.000011,1080,212
18.06.2003,0.0000917,0.0000929,1081,212
19.06.2003,-0.0000249,0.00000562,1082,212
20.06.2003,-0.000141593,-0.0000407,1083,213
21.06.2003,0.000282454,0.0000472,1084,213
23.06.2003,0.000116398,0.0000738,1086,213
24.06.2003,0.000132704,0.0000234,1087,213
25.06.2003,-0.0000495,-0.000136837,1088,214
26.06.2003,0.000127079,-0.0000781,1089,214
27.06.2003,0.0000662,0.0000455,1090,214
30.06.2003,0.0000713,-0.00010709,1093,214
01.07.2003,-0.0000988,0.0000457,1094,215
02.07.2003,-0.0000832,0.000122193,1095,215
03.07.2003,0.000185432,0.000116523,1096,215
04.07.2003,-0.000223375,0.0000691,1097,215
07.07.2003,-0.0000158,-0.000111917,1100,216
08.07.2003,-0.0000329,0.0000129,1101,216
09.07.2003,0.000234497,0.000119702,1102,216
10.07.2003,-0.000345681,-0.000011,1103,217
11.07.2003,-0.000235594,-0.000208432,1104,217
14.07.2003,-0.000230579,0.0000142,1107,217
16.07.2003,-0.000348126,-0.0000909,1109,218
17.07.2003,-0.000162179,-0.0000823,1110,218
18.07.2003,-0.000276173,-0.000105426,1111,218
21.07.2003,-0.000516999,-0.000215028,1114,219
22.07.2003,-0.000120263,0.000139278,1115,219
23.07.2003,-0.000158124,0.0000955,1116,219
24.07.2003,-0.00019571,-0.000208782,1117,219
25.07.2003,-0.00023541,-0.0000812,1118,220
28.07.2003,0.000249111,0.000397562,1121,220
29.07.2003,-0.000104475,0.000214794,1122,220
30.07.2003,-0.0000912,0.0000398,1123,220
31.07.2003,-0.000341778,0.00013993,1124,220
01.08.2003,0.0000976,0.000140962,1125,221
04.08.2003,-0.000234149,0.000108354,1128,221
05.08.2003,-0.0000896,0.00023596,1129,222
06.08.2003,-0.000018,-0.0000642,1130,222
