,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,-2.3028994,-4.522216,-1.0999435,-4.294553,-1.4427632,-3.6636243,-3.7508743,-3.3813963,-3.7449832,-0.9985642,-3.3403907,-3.4906237,-1.3947951,0.56935906,-2.8858302,-3.0598419,-2.9606166,-1.7684032,-3.1271203,-2.7133443,0.8168799,-3.0878158,-2.5920684,-3.0661867,-3.1064055,-2.9006195,-3.1694555,-2.2235253,-3.0310667,-2.9958777,-1.8580573,-1.7197332,-2.5239635,-2.879827,-2.078382
1,-4.90908,-0.64556193,-4.6418085,-4.5129156,-2.858368,-4.831996,-4.9830585,-3.8625436,-1.3114753,-3.8651733,-4.1741147,-4.045144,-3.4587111,-3.5267768,-3.96635,-0.65975696,-3.8556647,-3.930013,-3.0126314,-2.8005958,-3.3993542,-3.1814065,-0.14973122,-1.3540369,-3.4309971,-2.9485734,-2.8160808,-2.206772,-2.3999,-2.3681624,-3.049127,-2.0686781,-0.8587237,-3.241208,-0.9321571
2,-4.4605207,-4.109707,-4.230815,-3.362536,-2.1303387,-2.009172,-0.2967519,-3.947106,-3.6753533,-1.4467837,-3.861749,-1.3815528,-3.2761512,-2.945568,-3.3028822,-2.8573537,-0.6352097,-2.6411622,-2.7199764,-2.797792,-0.23238687,-1.0634179,-2.1574693,-3.2428365,-2.5424495,-0.5157407,-2.8190942,-1.6948433,-2.7322762,-2.5375502,-1.1405146,-2.7082016,-2.062235,-2.3647978,0.82939667
3,-1.6574887,-2.6077142,-0.93485373,-4.703636,-0.93025446,-2.9337804,-2.8869846,-3.4219167,-3.7552078,-3.406757,-3.328857,-3.4843469,-2.191589,0.4217471,-0.8927329,-3.0974722,-1.9758896,-2.7969565,-3.0401227,-3.3222005,0.5591954,-3.0269606,-2.9824092,-1.3707255,-2.6788926,-3.4861512,-3.3490791,-2.108302,-0.3523468,-2.127506,-2.4254684,-2.564378,-3.1644375,-2.9112556,-2.4432707
4,-4.1888804,-4.014126,-1.1961607,-3.4743562,-1.0876153,-4.43868,-3.6743872,-1.865178,-3.6950572,-1.2593502,-3.6397083,-3.445182,-2.01224,-0.84100884,-1.425494,-2.8606849,-3.294328,-3.1578395,-3.091661,-3.1972656,-1.8626405,-3.057226,-0.63067365,-2.6959505,-3.1345134,-3.102577,-2.767693,-2.775105,-2.8317757,-1.2369922,-2.9238293,-2.6890745,-1.9956414,-2.8067093,-1.0169747
5,-4.078094,-4.0019674,-2.7456172,-3.9216397,-4.2868147,-2.5920231,-0.6499738,-2.548535,-3.7310417,-3.6612692,-3.207723,-3.8428485,-3.9050608,-0.21699929,-2.9158967,-3.2610917,-3.0001545,-3.246511,-2.763244,-2.8109972,-2.5442863,-2.6075308,-2.820924,-3.1398656,-2.4263253,-2.79041,-3.0028987,-2.7016895,-2.287845,-2.8110154,-2.9381852,-2.6521974,-2.45248,-2.7819216,-2.945167
6,-5.3498,-2.9177616,-3.2739937,-4.771603,-3.0542843,-4.7751145,0.31155732,-4.8372707,-3.8894866,-4.8249636,-4.332702,-2.9691024,-4.465268,0.16623168,-4.3358235,-4.59334,-4.324821,-3.3317494,-4.404985,-4.2141247,-0.6467681,-3.8393064,-3.8666446,-3.9322112,-3.4966564,-4.0197697,-4.42832,-3.847308,-2.228183,-2.982664,-3.5210557,-4.1278934,-3.830406,-2.926693,-3.277137
