,0
0,-1.4363009929656982
1,-0.18025880306959152
2,0.34899672865867615
3,0.13266034424304962
4,-0.23478356003761292
5,0.26603545248508453
6,0.05714660510420799
7,0.3696524649858475
8,-0.5279492139816284
9,-0.3160470128059387
10,-0.24654684960842133
11,-0.6852816045284271
12,-0.6351546347141266
13,-0.12849867343902588
14,0.6273591220378876
15,1.3512320518493652
16,2.7429927587509155
17,0.9446785151958466
18,1.217872440814972
19,1.6844088435173035
20,0.7754034399986267
21,0.8193271458148956
22,-0.35791370272636414
23,0.630243331193924
24,0.4540790617465973
25,-0.23337122052907944
26,0.3449128568172455
27,0.8048230409622192
28,1.1440479755401611
29,0.05533527210354805
30,-0.1520170494914055
31,-0.32959921658039093
32,-1.1010154485702515
33,-0.9516030550003052
34,-0.09973897412419319
35,0.2781851440668106
36,-0.9880454540252686
37,-1.3015870451927185
38,-0.5009475648403168
39,-0.950697660446167
40,0.2188495472073555
41,0.6937925815582275
42,0.577763170003891
43,0.258186474442482
44,0.4973396211862564
45,-0.31196698546409607
46,0.30935531854629517
47,0.1750059425830841
48,1.5836901664733887
49,1.7890426516532898
50,1.4102402329444885
51,0.3495975583791733
52,0.7050372660160065
53,0.27144037187099457
54,1.3628080487251282
55,-0.33877769112586975
56,-1.1315969228744507
57,0.28384022414684296
58,0.42339804768562317
59,1.1110767126083374
60,0.4668514281511307
61,0.5555332005023956
62,0.6985308825969696
63,-0.32621894776821136
64,-0.06354488059878349
65,0.5480422079563141
66,1.4440211057662964
67,1.332883358001709
68,0.5928285717964172
69,0.5463083982467651
70,-0.9488510489463806
71,-0.11013203859329224
72,0.5615923404693604
73,0.8296444416046143
74,-0.5389364957809448
75,-1.0375192761421204
76,-1.6804267168045044
77,-0.6819301247596741
78,-1.5472559332847595
79,-0.28818514943122864
80,-0.7932823896408081
81,-0.11258556693792343
82,0.1902632713317871
83,-0.04917413182556629
84,-0.20537018775939941
85,-0.2914913445711136
86,-0.38976188004016876
87,-1.1010656356811523
88,-0.762174665927887
89,-1.5823193788528442
90,-0.5805794596672058
91,-0.5042116343975067
92,-1.3676785230636597
93,-0.4291735142469406
94,-1.8505142331123352
95,-1.9624437093734741
96,-0.8768149018287659
97,0.06850985437631607
98,-1.1697174310684204
99,-0.3338374048471451
