Date,ER,DD,dflows,LER,dLER,dPoil,dDate,match,dflows2
10.05.2001,28.96,0.335102459,0.002758441,3.341801172,0,2.434778348,5,317,-0.00076294
15.05.2001,28.99,0.336648881,0.003943799,3.327909586,0.103537542,-1.389158581,5,322,0.001328219
20.05.2001,29.09,0.334845863,-0.000873561,3.377587516,0.344352957,4.967793013,5,327,-0.002584598
25.05.2001,29.08,0.336234871,0.001910471,3.35654863,-0.034381984,-2.103888603,7,334,0.001467251
01.06.2001,29.14,0.336049848,0.006044955,3.362456553,0.20611481,0.590792335,4,338,-0.000649319
05.06.2001,29.16,0.343828645,0.00494554,3.375879574,0.068610637,1.342302033,5,343,0.007566779
10.06.2001,29.13,0.338183071,-0.001825508,3.363149314,-0.102933617,-1.273025965,5,348,-0.00547133
15.06.2001,29.08,0.339378901,0.002164968,3.336836623,-0.171791831,-2.631269152,5,353,0.001581366
20.06.2001,29.09,0.338971438,0.001201514,3.267284964,0.034381984,-6.955165843,5,358,-0.000486636
25.06.2001,29.1,0.338693621,0.000993084,3.309082093,0.034370167,4.179712868,6,364,-0.000355981
01.07.2001,29.07,0.337744205,0.00730813,3.266141017,-0.103145961,-4.294107542,4,368,-0.00074074
05.07.2001,29.18,0.341518778,-0.000885588,3.246101811,0.377682852,-2.003920621,5,373,0.00289082
10.07.2001,29.22,0.341563601,0.003188617,3.206398303,0.136986323,-3.970350776,5,378,-0.000262974
15.07.2001,29.2,0.339056215,-0.000461315,3.178886817,-0.068469705,-2.751148671,5,383,-0.002366854
20.07.2001,29.27,0.340569217,0.004145571,3.154017253,0.239439143,-2.486956413,5,388,0.000991089
25.07.2001,29.28,0.340996293,-0.000208271,3.214867803,0.034158839,6.085055095,7,395,0.000349698
01.08.2001,29.32,0.342142224,0.007969994,3.187591535,0.136518793,-2.727626864,4,399,0.000863355
05.08.2001,29.36,0.34375035,-0.002145993,3.242592351,0.136332673,5.500081666,5,404,0.001285679
10.08.2001,29.34,0.343804577,0.003669239,3.249598998,-0.068143103,0.700664603,5,409,0.00020843
15.08.2001,29.33,0.344058124,0.001695888,3.2429829,-0.034088973,-0.66160973,5,414,0.000331416
20.08.2001,29.36,0.342752636,0.0001806,3.19253185,0.102232076,-5.045105068,5,419,-0.001543327
25.08.2001,29.37,0.343353619,0.000868306,3.270708974,0.034054146,7.817712398,7,426,0.000524928
01.09.2001,29.41,0.342840878,0.006079706,3.288401888,0.136100736,1.769291401,4,430,-0.000830364
05.09.2001,29.45,0.346732987,-0.001862126,3.268427604,0.135915753,-1.997428382,5,435,0.003526323
10.09.2001,29.43,0.344567432,0.001724957,3.317453388,-0.067934785,4.902578453,5,440,-0.002034699
15.09.2001,29.45,0.340683183,-0.001208592,3.374853406,0.067934785,5.740001809,5,445,-0.004070902
20.09.2001,29.45,0.340105765,0.000837727,3.241419789,0,-13.3433617,5,450,-0.000579821
25.09.2001,29.42,0.340019435,-0.000378418,3.00221124,-0.101919492,-23.92085497,6,456,0.000142458
01.10.2001,29.39,0.335229932,0.003254816,3.054944133,-0.102023474,5.273289353,4,460,-0.004670651
05.10.2001,29.5,0.337941696,0.001145669,3.066190737,0.373578291,1.124660402,5,465,0.001875186
10.10.2001,29.52,0.334980077,-0.001523393,3.045474365,0.067773639,-2.071637175,5,470,-0.003128047
15.10.2001,29.5,0.333526905,9.47E-05,3.013572192,-0.067773639,-3.190217377,5,475,-0.001308
20.10.2001,29.55,0.332768876,0.000603824,2.991222118,0.169348051,-2.235007361,5,480,-0.001139176
25.10.2001,29.57,0.33346819,0.000849271,3.028683374,0.067659001,3.746125562,7,487,0.000549824
01.11.2001,29.68,0.334244969,0.006425187,2.964757469,0.371308443,-6.392590444,4,491,-3.40E-05
05.11.2001,29.73,0.336464144,-0.002341505,2.932792474,0.168321871,-3.196499547,5,496,0.001817935
10.11.2001,29.71,0.33448526,0.002153989,3.031099417,-0.067294754,9.830694361,5,501,-0.001851807
15.11.2001,29.72,0.337116508,0.003306941,2.803966258,0.033653038,-22.71331595,5,506,0.002562474
20.11.2001,29.8,0.336532622,0.000134046,2.934920134,0.268817366,13.09538762,5,511,-0.001188237
25.11.2001,29.93,0.338654339,0.001315613,2.965273066,0.435292835,3.035293191,6,517,0.001151831
01.12.2001,29.9,0.338981564,0.008296585,2.940219564,-0.100284147,-2.505350245,4,521,0.000559082
05.12.2001,29.93,0.345473819,0.002605862,2.958549482,0.100284147,1.83299188,5,526,0.00620079
10.12.2001,29.95,0.342101731,-0.000318564,2.892037037,0.06680027,-6.651244521,5,531,-0.003555563
15.12.2001,30.18,0.34455855,0.004138936,2.91993056,0.765012878,2.789352292,5,536,0.000759143
20.12.2001,30.28,0.349243581,0.005806661,2.937573359,0.330797523,1.764279924,5,541,0.003967089
25.12.2001,30.12,0.352074366,0.006473996,2.937573359,-0.529802564,0,7,548,0.004046151
01.01.2002,30.1372,0.348317032,0.008656996,2.937573359,0.057088615,0,4,552,-0.004023683
05.01.2002,30.1372,0.350523834,-0.004584965,3.054001182,0,11.64278223,5,557,0.002164043
10.01.2002,30.5753,0.351280846,-0.000245683,2.981126121,1.443220438,-7.287506051,5,562,-0.002543583
15.01.2002,30.4491,0.353629645,0.00697545,2.937043277,-0.413605639,-4.408284396,5,567,0.003310488
20.01.2002,30.5788,0.354345477,0.004027776,2.899771882,0.425052133,-3.72713948,5,572,-0.000248068
25.01.2002,30.538,0.356338346,0.003884795,2.946542029,-0.133514864,4.677014696,7,579,0.002306064
01.02.2002,30.6797,0.357187427,0.006402395,2.980618636,0.462938833,3.407660638,4,583,-0.000198052
05.02.2002,30.7299,0.361895528,-0.00130878,2.990719732,0.163492389,1.010109599,5,588,0.004261735
10.02.2002,30.7644,0.35712387,0.00232982,2.996232149,0.112205533,0.551241687,5,593,-0.005131231
15.02.2002,30.8281,0.359015917,0.004163481,3.033028058,0.206843439,3.67959097,5,598,0.001432539
20.02.2002,30.8949,0.3583956,-0.001108787,2.967332799,0.216451002,-6.569525927,5,603,-0.001119462
25.02.2002,30.8409,0.358312823,0.00229611,2.984671326,-0.174939059,1.733852716,4,607,0.000318736
01.03.2002,30.9404,0.357479876,0.004800045,3.083285171,0.322104216,9.861384437,4,611,-0.001590557
05.03.2002,30.9949,0.361457404,-0.000627317,3.102342009,0.175990151,1.905683805,5,616,0.0035292
10.03.2002,30.9946,0.359112752,-0.000247675,3.105483138,-0.000967906,0.31411289,5,621,-0.002356086
15.03.2002,31.0237,0.358994139,0.003248613,3.173878459,0.093843276,6.839532142,5,626,-0.000335919
20.03.2002,31.1248,0.362919521,0.006203702,3.210036876,0.325350054,3.615841726,5,631,0.003212772
25.03.2002,31.1168,0.362253099,-0.000392003,3.208825489,-0.02570628,-0.121138719,7,638,-0.000607328
01.04.2002,31.1192,0.362592102,0.007279886,3.260401572,0.007712578,5.157608268,4,642,0.0003277
05.04.2002,31.184,0.366985938,0.002020512,3.234355396,0.208015073,-2.604617598,5,647,0.003893198
10.04.2002,31.1644,0.366020169,0.001231157,3.224062352,-0.062872506,-1.029304416,5,652,-0.000824946
15.04.2002,31.1734,0.364980565,0.001351841,3.152308581,0.028874936,-7.175377096,5,657,-0.001113731
20.04.2002,31.1711,0.364908148,0.001484552,3.252697373,-0.007378357,10.03887927,5,662,-5.56E-05
25.04.2002,31.1579,0.369477029,0.006889545,3.276012016,-0.042355886,2.33146429,6,668,0.004693805
01.05.2002,31.1951,0.36494615,0.004839202,3.283539338,0.119320656,0.752732195,4,672,-0.004930826
05.05.2002,31.1951,0.367356561,-0.002809736,3.250374492,0,-3.316484627,5,677,0.002376159
10.05.2002,31.2119,0.366673184,0.001105733,3.29175447,0.053840115,4.137997835,5,682,-0.000812242
15.05.2002,31.2453,0.367727599,0.002066349,3.302113423,0.106953252,1.035895316,5,687,0.000809938
20.05.2002,31.2553,0.365919793,0.000526736,3.256942026,0.031999693,-4.517139776,5,692,-0.001894334
25.05.2002,31.285,0.366896433,0.001897566,3.168003494,0.094978765,-8.893853118,7,699,0.00075954
01.06.2002,31.3058,0.367001322,0.007130095,3.17262244,0.066463444,0.461894586,4,703,-4.75E-05
05.06.2002,31.3272,0.371716177,0.000207206,3.143721151,0.068334587,-2.890128908,5,708,0.004502058
10.06.2002,31.397,0.369055296,0.000279778,3.128075461,0.222561719,-1.564569073,5,713,-0.003208411
15.06.2002,31.3965,0.368218802,0.002795527,3.176803048,-0.001592522,4.87275879,5,718,-0.000841023
20.06.2002,31.4337,0.369501696,0.002284952,3.195402469,0.118414407,1.859942024,5,723,0.001012252
25.06.2002,31.4725,0.371551161,0.002948483,3.231594597,0.123358286,3.619212859,6,729,0.001769375
01.07.2002,31.4471,0.369667773,0.006442513,3.244543572,-0.080737962,1.294897434,4,733,-0.001735831
05.07.2002,31.5128,0.372478734,-0.000309872,3.248434627,0.208704346,0.389105549,5,738,0.002306421
10.07.2002,31.5533,0.372309818,0.002175786,3.251149385,0.12843669,0.271475831,5,743,-0.000470595
15.07.2002,31.5555,0.370911081,0.00163238,3.264231527,0.006972086,1.308214117,5,748,-0.00142656
20.07.2002,31.5332,0.371814306,0.003678303,3.272227,-0.070694121,0.799547378,5,753,0.001074226
25.07.2002,31.5035,0.37266076,0.001446558,3.23317313,-0.094230828,-3.90538708,7,760,0.001067012
01.08.2002,31.4568,0.371470611,0.005518005,3.24998682,-0.148347478,1.681369032,4,764,-0.000863315
05.08.2002,31.5502,0.374595325,-0.001581991,3.226843995,0.296475212,-2.314282538,5,769,0.002401415
10.08.2002,31.5828,0.372483326,0.002109232,3.238286218,0.10327405,1.144222387,5,774,-0.002380197
15.08.2002,31.5405,0.373634221,0.004156379,3.283164315,-0.134023431,4.487809636,5,779,0.001471671
20.08.2002,31.555,0.374356479,0.000669886,3.318902139,0.045962074,3.573782418,5,784,0.000614898
25.08.2002,31.5725,0.373649235,-0.001177873,3.314549575,0.05544335,-0.4352564,7,791,-0.000836638
01.09.2002,31.5673,0.373980107,0.006314293,3.316365446,-0.016471386,0.181587121,4,795,0.000374657
05.09.2002,31.6117,0.378339045,0.000314181,3.315639493,0.140553055,-0.072595284,5,800,0.003989105
10.09.2002,31.6268,0.376247154,0.001541981,3.364533397,0.047755719,4.889390399,5,805,-0.002225447
15.09.2002,31.6415,0.374829262,0.00042043,3.350956165,0.04646877,-1.357723207,5,810,-0.001534589
20.09.2002,31.6425,0.376202939,0.003366197,3.353756307,0.003160356,0.280014184,5,815,0.00137359
25.09.2002,31.6354,0.377186043,0.000370459,3.371081758,-0.022440694,1.73254507,6,821,0.001033944
01.10.2002,31.6827,0.374908524,0.003516847,3.381674715,0.149404385,1.059295742,4,825,-0.002667384
05.10.2002,31.68,0.376583252,-0.000969846,3.343568269,-0.008522364,-3.810644635,5,830,0.001682798
10.10.2002,31.6803,0.37790297,0.004145874,3.321432413,0.000946965,-2.213585563,5,835,0.001327377
15.10.2002,31.6703,0.375658948,-0.001711731,3.355502422,-0.031570341,3.407000921,5,840,-0.002172282
20.10.2002,31.6727,0.374553222,0.000706698,3.339321978,0.007577791,-1.618044446,5,845,-0.001128934
25.10.2002,31.7109,0.372487012,0.001709875,3.256556892,0.120535926,-8.276508611,7,852,-0.002372203
01.11.2002,31.7701,0.373592047,0.00650974,3.249598998,0.186512554,-0.695789432,4,856,0.000686716
05.11.2002,31.7744,0.37826274,0.002038739,3.205182498,0.013533823,-4.441649977,5,861,0.004607145
10.11.2002,31.7756,0.372930949,-0.00217378,3.158701102,0.003776554,-4.64813959,5,866,-0.005386028
15.11.2002,31.8203,0.373683446,0.002961428,3.149740086,0.140575123,-0.89610158,5,871,0.000429031
20.11.2002,31.8224,0.374481495,0.001951594,3.180134997,0.006599343,3.039491052,5,876,0.000785114
25.11.2002,31.8222,0.374231194,0.000197994,3.212857753,-0.00062849,3.272275599,6,882,-0.000249127
01.12.2002,31.8424,0.372417025,0.005209425,3.248046202,0.063457559,3.518844963,4,886,-0.001998194
05.12.2002,31.8596,0.375611167,0.000104775,3.260785228,0.054001446,1.273902578,5,891,0.003043333
10.12.2002,31.8597,0.375611745,0.00385435,3.271468275,0.000313877,1.068304704,5,896,-1.52E-07
15.12.2002,31.86,0.372850147,-0.002216001,3.319263999,0.000941624,4.779572391,5,901,-0.002767874
20.12.2002,31.8542,0.374808171,0.005366642,3.387436466,-0.018206303,6.817246751,5,906,0.002018045
25.12.2002,31.7919,0.374424865,0.000495874,3.387436466,-0.19577011,0,7,913,7.48E-05
01.01.2003,31.7844,0.374208387,0.012041361,3.387436466,-0.023593698,0,4,917,-0.000168261
05.01.2003,31.7844,0.375765978,-0.003526843,3.447762851,0,6.03263844,5,922,0.001536516
10.01.2003,31.882,0.387638745,0.021252057,3.403527997,0.306598383,-4.423485381,5,927,0.011475102
15.01.2003,31.835,0.385652233,-0.000258863,3.457262606,-0.147527374,5.373460859,5,932,-0.001642533
20.01.2003,31.8224,0.383987024,0.000627641,3.472897696,-0.039586914,1.563509023,5,937,-0.001580718
25.01.2003,31.8015,0.385597768,0.003235143,3.453789832,-0.065698584,-1.910786405,7,944,0.00177183
01.02.2003,31.8345,0.385934169,0.006844387,3.452207303,0.103714888,-0.158252921,4,948,9.66E-05
05.02.2003,31.8354,0.388376506,-0.002153974,3.458522448,0.002827082,0.631514571,5,953,0.002406802
10.02.2003,31.8352,0.384752148,0.000392484,3.480316586,-0.000628233,2.179413783,5,958,-0.003660682
15.02.2003,31.6406,0.381190398,0.002428884,3.504355474,-0.613148979,2.403888765,5,963,-0.002148756
20.02.2003,31.581,0.376410947,-0.004069691,3.489208259,-0.188543212,-1.514721478,5,968,-0.004335022
25.02.2003,31.55,0.375517504,0.000482368,3.515715835,-0.098208495,2.650757612,4,972,-0.000665429
01.03.2003,31.5729,0.371956882,0.00319585,3.526360525,0.072556872,1.064468951,4,976,-0.003798119
05.03.2003,31.5809,0.376138111,0.000794629,3.524004811,0.025334976,-0.235571369,5,981,0.004085439
